sloc1	scate2	platform	clks	clks_one_day
9123	171	pc	1	0
9146	8523	m	122	17
927	8659	m	38	5
9326	23065	app	83	11
933	133	app	56	8
9357	14502	app	24	3
9363	168	m	360	51
9363	212	m	125	17
9363	8746	pc	1	0
9389	311	app	87	12
9409	37862	m	88	12
9409	8855	m	159	22
944	113	pc	1	0
944	14455	app	391	55
944	34806	m	19	2
944	35984	pc	13	1
9444	14000	pc	8	1
946	14363	pc	3	0
9499	102	app	241	34
9499	148	pc	9	1
9517	130	m	1	0
9517	156	app	609	87
952	8523	app	1828	261
9529	128	m	1	0
9529	14286	pc	3	0
9539	8516	app	95	13
9551	8558	app	15	2
961	8523	pc	133	19
9617	8717	pc	10	1
9617	8719	m	4	0
9656	152	app	4	0
9656	314	app	19	2
967	23065	m	16	2
968	234	app	1056	150
968	37861	m	1	0
9687	14326	app	225	32
9704	14526	m	9	1
9706	35691	app	2	0
9706	8558	m	2	0
9717	8608	pc	3	0
9736	199	app	6	0
9749	203	pc	44	6
9749	26513	app	13	1
977	234	pc	177	25
979	96	pc	40	5
9799	156	m	1323	189
9799	34807	app	11	1
9811	14255	app	2	0
9811	24056	app	6	0
9811	35694	app	103	14
9832	310	m	3	0
9832	36014	pc	1	0
9837	96	pc	38	5
984	37861	pc	109	15
984	37863	m	13	1
984	8746	m	51	7
9854	22431	m	12	1
9854	26516	app	4	0
9854	611	app	4	0
9902	14326	pc	3	0
9909	133	app	2	0
9909	14455	app	33	4
9976	168	m	204	29
9976	212	m	64	9
10015	14502	app	80	11
10039	35136	m	41	5
10039	798	app	20	2
10039	8855	pc	4	0
1005	29389	pc	28	4
1005	360	pc	24	3
1005	8445	pc	12	1
1005	8609	m	10	1
10070	171	pc	2	0
10070	199	app	26	3
10088	190	app	65	9
10097	190	pc	26	3
10097	36012	app	2	0
10106	207	pc	14	2
10115	29389	app	59	8
10115	360	app	56	8
10115	8445	app	4	0
10120	111	pc	47	6
10120	26513	m	3	0
10120	8719	app	40	5
10159	128	pc	3	0
10159	8546	pc	10	1
1016	37865	app	2	0
10171	96	pc	137	19
102	14379	app	929	132
10229	111	app	57	8
10229	203	m	605	86
10260	125	app	42	6
10260	710	pc	2	0
10260	8543	app	4	0
10260	97	pc	6	0
10266	23065	m	29	4
1029	148	app	42	6
1029	26520	pc	9	1
1029	8658	m	1	0
10291	196	m	75	10
10291	310	app	213	30
10291	35828	pc	3	0
10362	609	app	220	31
10387	125	pc	58	8
10387	460	m	101	14
10387	8543	pc	11	1
1039	35691	app	153	21
1039	8558	m	86	12
10394	14539	pc	1	0
10394	460	app	12	1
10417	8523	m	189	27
10434	24056	pc	8	1
10434	35694	pc	22	3
10467	14286	app	49	7
10492	128	pc	22	3
10492	8546	pc	5	0
10524	609	app	130	18
10564	8717	pc	1	0
10564	8719	m	9	1
1057	14326	m	719	102
1067	15520	app	13	1
1067	34323	m	36	5
1078	199	pc	9	1
1096	34806	pc	19	2
1096	38118	app	2	0
1096	8645	m	13	1
11226	14354	pc	1	0
11296	23087	app	63	9
11296	350	app	8	1
122	8752	m	25	3
12291	14326	m	298	42
13950	234	pc	44	6
147	14354	m	361	51
158	171	app	1022	146
16	356	app	74	10
172	609	m	9157	1308
18	23065	app	1674	239
18	310	m	1701	243
18	41588	pc	51	7
188	125	m	8606	1229
188	8543	m	156	22
188	8659	pc	665	95
2	133	app	733	104
2015	133	app	287	41
2015	14455	app	3227	461
2015	34806	m	5	0
2015	35984	pc	123	17
2015	38116	app	74	10
