sloc1	scate2	ps1	ps1a	as1	clk01	cost1	cash1	dispuser1	dispsub1	realcostuser1	realcostsub1
686	14363	17	0	0	0	0.0	0.0	0	0	0	0
693	14455	244	0	0	0	0.0	0.0	0	0	0	0
693	38116	1	0	0	0	0.0	0.0	0	0	0	0
6964	343	30	0	0	0	0.0	0.0	0	0	0	0
6964	8761	4	0	0	0	0.0	0.0	0	0	0	0
722	26521	31	0	0	0	0.0	0.0	0	0	0	0
728	196	129	0	0	0	0.0	0.0	0	0	0	0
728	23087	145	106	106	3	0.0	0.0	1	1	0	0
7303	26521	18	0	0	0	0.0	0.0	0	0	0	0
7452	38118	0	0	0	0	0.0	0.0	0	0	0	0
7468	36014	7	0	0	0	0.0	0.0	0	0	0	0
751	8752	15	0	0	0	0.0	0.0	0	0	0	0
7576	460	43	0	0	0	0.0	0.0	0	0	0	0
7620	460	268	0	0	0	0.0	0.0	0	0	0	0
776	14354	3	0	0	0	0.0	0.0	0	0	0	0
79	311	1168	515	1176	9	104.37	89.63	3	3	3	3
7921	8659	210	0	0	0	0.0	0.0	0	0	0	0
7951	14255	11	0	0	0	0.0	0.0	0	0	0	0
7951	24056	13	0	0	0	0.0	0.0	0	0	0	0
7951	35694	43	0	0	0	1.49	1.49	0	0	0	0
7951	8692	15	0	0	0	0.0	0.0	0	0	0	0
811	26522	2	0	0	0	0.0	0.0	0	0	0	0
836	37866	1	0	0	0	0.0	0.0	0	0	0	0
836	95	93	0	0	0	0.0	0.0	0	0	0	0
837	203	10141	8431	29564	146	253.07	210.6	5	5	5	5
845	8659	994	469	469	9	28.35	26.25	1	1	1	1
8601	118	24	0	0	0	0.0	0.0	0	0	0	0
8716	148	1	0	0	0	0.0	0.0	0	0	0	0
8716	36008	6	0	0	0	0.0	0.0	0	0	0	0
8854	36014	3	0	0	0	0.0	0.0	0	0	0	0
891	14419	66	0	0	0	0.0	0.0	0	0	0	0
891	771	16	0	0	0	0.0	0.0	0	0	0	0
8973	350	47	0	0	0	0.0	0.0	0	0	0	0
901	26513	48	0	0	0	0.0	0.0	0	0	0	0
93	171	239	0	0	0	0.0	0.0	0	0	0	0
9326	609	167	140	643	10	29.8	23.57	5	5	5	5
9357	14000	442	0	0	0	0.0	0.0	0	0	0	0
9357	8717	16	0	0	0	0.0	0.0	0	0	0	0
944	38117	3	0	0	0	0.0	0.0	0	0	0	0
944	8442	41	0	0	0	0.0	0.0	0	0	0	0
9472	14354	18	0	0	0	0.0	0.0	0	0	0	0
9551	14455	136	0	0	0	0.0	0.0	0	0	0	0
9551	38116	0	0	0	0	0.0	0.0	0	0	0	0
961	14286	94	53	53	1	0.0	0.0	1	1	0	0
9656	15520	8	0	0	0	0.0	0.0	0	0	0	0
967	34323	11	0	0	0	0.0	0.0	0	0	0	0
9687	26515	12	0	0	0	0.0	0.0	0	0	0	0
9688	37981	4	0	0	0	0.0	0.0	0	0	0	0
9704	113	3	0	0	0	0.0	0.0	0	0	0	0
9704	35984	11	0	0	0	0.0	0.0	0	0	0	0
9706	14363	0	0	0	0	0.0	0.0	0	0	0	0
9709	190	20	0	0	0	0.0	0.0	0	0	0	0
