sloc1	scate2	sloc-scate	online_price	member_price
5722	156	5722-156	12.24	9.18
1057	14419	1057-14419	12.24	9.18
3251	14326	3251-14326	12.24	9.18
2363	97	2363-97	12.24	9.18
2373	14455	2373-14455	12.24	9.18
10448	609	10448-609	12.24	9.18
3489	310	3489-310	12.24	9.18
291	14419	291-14419	12.24	9.18
652	111	652-111	12.24	9.18
2015	26531	2015-26531	12.24	9.18
771	14526	771-14526	12.24	9.18
7453	111	7453-111	12.24	9.18
10291	156	10291-156	12.24	9.18
5669	14326	5669-14326	12.24	9.18
1078	14419	1078-14419	12.24	9.18
771	8659	771-8659	12.24	9.18
291	35694	291-35694	12.24	9.18
2364	203	2364-203	12.24	9.18
623	111	623-111	12.24	9.18
2038	203	2038-203	12.24	9.18
771	14286	771-14286	12.24	9.18
771	309	771-309	12.24	9.18
10485	96	10485-96	12.24	9.18
5632	14326	5632-14326	12.24	9.18
3328	111	3328-111	12.24	9.18
2037	8516	2037-8516	12.24	9.18
2053	14286	2053-14286	12.24	9.18
523	212	523-212	12.24	9.18
9704	203	9704-203	12.24	9.18
5756	168	5756-168	12.24	9.18
2045	14286	2045-14286	12.24	9.18
6793	234	6793-234	12.24	9.18
2429	23087	2429-23087	12.24	9.18
9551	234	9551-234	12.24	9.18
872	168	872-168	12.24	9.18
2307	23087	2307-23087	12.24	9.18
2054	102	2054-102	12.24	9.18
613	8558	613-8558	12.24	9.18
968	8516	968-8516	12.24	9.18
6770	96	6770-96	12.24	9.18
228	34323	228-34323	12.24	9.18
497	8493	497-8493	12.24	9.18
10467	609	10467-609	12.24	9.18
2363	102	2363-102	12.24	9.18
523	611	523-611	12.24	9.18
3177	102	3177-102	12.24	9.18
613	8537	613-8537	12.24	9.18
771	8735	771-8735	12.24	9.18
944	14326	944-14326	12.24	9.18
669	14379	669-14379	12.24	9.18
2248	203	2248-203	12.24	9.18
518	34323	518-34323	12.24	9.18
2354	14455	2354-14455	12.24	9.18
7468	168	7468-168	12.24	9.18
993	26523	993-26523	12.24	9.18
2054	311	2054-311	12.24	9.18
6776	14455	6776-14455	12.24	9.18
10492	609	10492-609	12.24	9.18
2296	609	2296-609	12.24	9.18
801	360	801-360	12.24	9.18
362	460	362-460	33.12	24.84
505	360	505-360	14.4	10.8
291	360	291-360	14.4	10.8
6803	95	6803-95	13.44	10.08
845	710	845-710	13.44	10.08
910	460	910-460	14.4	10.8
228	35984	228-35984	14.4	10.8
37	8608	37-8608	14.16	10.62
122	35828	122-35828	14.16	10.62
693	96	693-96	14.16	10.62
463	196	463-196	14.4	10.8
18	35828	18-35828	14.4	10.8
