sloc1	scate2	zdprice	online_price	member_price	price	diff	range
4	23087	25.3	115.92	86.94	97.796	-18.124	-0.156349206349
4	23442		3.12	2.34			
4	24056	1.73	33.84	25.38	27.418	-6.422	-0.189775413712
4	26516	5.42	46.32	34.74	38.14	-8.18	-0.176597582038
4	26517	4.7	7.44	5.58	6.892	-0.548	-0.0736559139785
4	26518	0.83	26.88	20.16	21.67	-5.21	-0.193824404762
4	26523	9.78	60.96	45.72	50.724	-10.236	-0.167913385827
4	26531	27.6	61.92	46.44	55.056	-6.864	-0.110852713178
4	29389	4.09	46.32	34.74	37.874	-8.446	-0.182340241796
4	34323	14.12	53.04	39.78	45.256	-7.784	-0.146757164404
4	34806	3.23	27.84	20.88	22.918	-4.922	-0.176795977011
4	34807	1.8	43.2	32.4	34.92	-8.28	-0.191666666667
4	35136	2.06	81.6	61.2	65.692	-15.908	-0.194950980392
4	35691	4.04	35.28	26.46	29.032	-6.248	-0.177097505669
4	35694	6.83	65.04	48.78	53.398	-11.642	-0.178997539975
4	35721	2.66	43.2	32.4	35.092	-8.108	-0.187685185185
4	35828	18.27	43.2	32.4	38.214	-4.986	-0.115416666667
4	35981	3.61	14.4	10.8	12.242	-2.158	-0.149861111111
4	35984	4.08	21.36	16.02	17.904	-3.456	-0.161797752809
4	36008	4.71	46.32	34.74	37.998	-8.322	-0.179663212435
4	37863	4.76	20.16	15.12	17.08	-3.08	-0.152777777778
4	38115	0.74	14.4	10.8	11.668	-2.732	-0.189722222222
4	38117		14.4	10.8			
4	38118	0.0	14.4	10.8	11.52	-2.88	-0.2
4	41588	1.09	14.4	10.8	11.738	-2.662	-0.184861111111
5	95	58.46	89.04	66.78	82.924	-6.116	-0.068688230009
5	96	225.76	154.56	115.92	168.8	14.24	0.092132505176
5	97	0.6	43.44	32.58	34.872	-8.568	-0.197237569061
5	102	12.16	36.24	27.18	31.424	-4.816	-0.13289183223
5	111	35.31	65.28	48.96	59.286	-5.994	-0.0918198529412
5	125	122.97	221.52	166.14	201.81	-19.71	-0.0889761646804
5	130	7.11	51.12	38.34	42.318	-8.802	-0.172183098592
5	133	5.97	37.44	28.08	31.146	-6.294	-0.168108974359
5	145	2.64	36.0	27.0	29.328	-6.672	-0.185333333333
5	156	66.39	154.56	115.92	136.926	-17.634	-0.114091614907
5	168	131.84	123.84	92.88	125.44	1.6	0.0129198966408
5	190	13.83	51.12	38.34	43.662	-7.458	-0.145892018779
5	196	10.59	67.92	50.94	56.454	-11.466	-0.168816254417
5	199	1.0	7.68	5.76	6.344	-1.336	-0.173958333333
5	207	11.22	61.44	46.08	51.396	-10.044	-0.1634765625
5	212	55.09	90.0	67.5	83.018	-6.982	-0.0775777777778
5	234	41.8	74.88	56.16	68.264	-6.616	-0.0883547008547
5	309	4.13	14.4	10.8	12.346	-2.054	-0.142638888889
5	310	5.16	56.64	42.48	46.344	-10.296	-0.181779661017
5	311	5.17	46.32	34.74	38.09	-8.23	-0.177677029361
5	314	0.57	3.12	2.34	2.61	-0.51	-0.163461538462
5	360	32.7	51.12	38.34	47.436	-3.684	-0.0720657276995
5	460	23.63	57.84	43.38	50.998	-6.842	-0.118291839557
5	609	27.55	115.2	86.4	97.67	-17.53	-0.152170138889
5	611	29.22	109.68	82.26	93.588	-16.092	-0.146717724289
5	8442		14.4	10.8			
5	8445	7.35	14.4	10.8	12.99	-1.41	-0.0979166666667
5	8493	17.21	51.12	38.34	44.338	-6.782	-0.132668231612
5	8516	59.55	65.28	48.96	64.134	-1.146	-0.0175551470588
5	8523	55.17	65.52	49.14	63.45	-2.07	-0.0315934065934
5	8537	0.58	37.44	28.08	30.068	-7.372	-0.196901709402
5	8543	9.43	52.8	39.6	44.126	-8.674	-0.16428030303
5	8558	21.3	46.32	34.74	41.316	-5.004	-0.108031088083
5	8608	13.69	20.64	15.48	19.25	-1.39	-0.0673449612403
5	8609	258.72	7.68	5.76	57.888	50.208	6.5375
5	8609	258.72	16.08	12.06	64.608	48.528	3.01791044776
5	8659	3.03	53.04	39.78	43.038	-10.002	-0.188574660633
5	8735	6.91	36.0	27.0	30.182	-5.818	-0.161611111111
5	8855	0.9	3.12	2.34	2.676	-0.444	-0.142307692308
5	14000	91.6	196.56	147.42	175.568	-20.992	-0.106796906797
5	14001		14.4	10.8			
5	14286	2.8	36.96	27.72	30.128	-6.832	-0.184848484848
5	14326	29.56	67.92	50.94	60.248	-7.672	-0.112956419317
5	14379	3.82	21.36	16.02	17.852	-3.508	-0.164232209738
5	14419	6.82	21.36	16.02	18.452	-2.908	-0.136142322097
5	14455	34.62	74.16	55.62	66.252	-7.908	-0.106634304207
5	14502	9.12	45.84	34.38	38.496	-7.344	-0.160209424084
5	14526	3.4	21.36	16.02	17.768	-3.592	-0.168164794007
5	22431	18.64	64.08	48.06	54.992	-9.088	-0.141822721598
5	23087	14.43	124.32	93.24	102.342	-21.978	-0.176785714286
5	26523	4.98	59.76	44.82	48.804	-10.956	-0.183333333333
5	26531	3.02	28.32	21.24	23.26	-5.06	-0.178672316384
5	34807	1.81	27.36	20.52	22.25	-5.11	-0.186769005848
5	35691	3.67	23.52	17.64	19.55	-3.97	-0.168792517007
5	35694	4.3	41.28	30.96	33.884	-7.396	-0.179166666667
5	35828	13.75	35.28	26.46	30.974	-4.306	-0.122052154195
5	36008	2.4	3.6	2.7	3.36	-0.24	-0.0666666666667
5	36488	1.65	14.4	10.8	11.85	-2.55	-0.177083333333
5	37863	2.02	14.4	10.8	11.924	-2.476	-0.171944444444
16	96	29.83	26.88	20.16	27.47	0.59	0.0219494047619
16	97	1.36	26.88	20.16	21.776	-5.104	-0.189880952381
16	102	1.88	14.4	10.8	11.896	-2.504	-0.173888888889
16	125	14.75	26.88	20.16	24.454	-2.426	-0.0902529761905
16	156	9.03	33.6	25.2	28.686	-4.914	-0.14625
16	168	9.5	23.52	17.64	20.716	-2.804	-0.119217687075
16	196	1.34	26.88	20.16	21.772	-5.108	-0.190029761905
16	203	24.96	23.52	17.64	23.808	0.288	0.0122448979592
16	234	6.49	26.88	20.16	22.802	-4.078	-0.151711309524
16	310	0.78	14.4	10.8	11.676	-2.724	-0.189166666667
16	360	1.85	14.4	10.8	11.89	-2.51	-0.174305555556
16	460	10.34	14.4	10.8	13.588	-0.812	-0.0563888888889
16	609	12.44	26.88	20.16	23.992	-2.888	-0.10744047619
16	611	3.65	23.52	17.64	19.546	-3.974	-0.168962585034
16	8445	5.81	14.4	10.8	12.682	-1.718	-0.119305555556
16	8493	0.36	14.4	10.8	11.592	-2.808	-0.195
16	8516	7.14	14.4	10.8	12.948	-1.452	-0.100833333333
16	8523	12.96	14.4	10.8	14.112	-0.288	-0.02
16	8558	2.08	14.4	10.8	11.936	-2.464	-0.171111111111
16	8608	0.62	14.4	10.8	11.644	-2.756	-0.191388888889
