sloc1	scate2	platform	clks_one_day	sloc-scate	online_price	member_price	valid_rate_new	jz_clks_one_day	predict_clks	pos_ctr	common_pos_jz	common_pos_zd	start_pos	end_pos	zd_get_clks	acp_jz	zd_cnt	zdprice
330	168	app	191	330-168	51.12	38.34	1.0	28.0	191.0	0.438714499253	3.0	4	4.0	12.0	28.0	2.33857142857	8.0	8.18
330	168	m	91	330-168	51.12	38.34	0.86	7.0	78.26	0.37460815047	3.0	4	4.0	12.0	7.0	2.3445	8.0	2.05
330	212	pc	32	330-212	26.88	20.16	0.73	4.0	23.36	0.278260869565	3.0	4	4.0	12.0	4.0	1.04	8.0	0.52
330	212	app	46	330-212	26.88	20.16	1.0	9.0	46.0	0.444099378882	3.0	4	4.0	12.0	9.0	1.06	8.0	1.19
330	212	m	46	330-212	26.88	20.16	0.93	9.0	42.78	0.390092879257	3.0	4	4.0	12.0	9.0	1.01	8.0	1.14
330	96	m	752	330-96	105.84	79.38	0.64	84.0	481.28	0.145081655906	9.0	7	10.0	26.0	70.0	4.3635	16.0	19.09
330	96	pc	479	330-96	105.84	79.38	0.6	56.0	287.4	0.239654659125	7.0	7	8.0	24.0	56.0	3.90270833333	16.0	13.66
330	96	app	506	330-96	105.84	79.38	0.81	91.0	409.86	0.336530324401	6.0	7	7.0	23.0	91.0	8.12556318681	16.0	46.21
3359	14000	app	28	3359-14000	33.6	25.2	1.0	6.0	28.0	0.34	5.0	0	6.0	11.0	6.0	1.41392857143	5.0	1.7
3359	14000	m	115	3359-14000	33.6	25.2	0.47	10.0	54.05	0.16049382716	11.0	0	12.0	17.0	9.0	1.0875	5.0	1.96
3359	14000	pc	16	3359-14000	33.6	25.2	0.22	1.0	3.52	0.119658119658	7.0	0	8.0	13.0	0.0	1.2225	5.0	0.0
342	14526	m	39	342-14526	28.56	21.42	0.99	5.0	38.61	0.263537906137	5.0	1	6.0	11.0	5.0		5.0	
342	14526	pc	61	342-14526	28.56	21.42	0.67	9.0	40.87	0.114754098361	7.0	1	8.0	13.0	5.0	1.0	5.0	1.0
342	14526	app	66	342-14526	28.56	21.42	1.0	11.0	66.0	0.264957264957	5.0	1	6.0	11.0	11.0	0.97	5.0	2.13
3434	360	pc	4	3434-360	14.4	10.8	0.6	0.0	2.4	0.172413793103	3.0	2	4.0	10.0	0.0	1.0	6.0	0.0
3434	360	app	16	3434-360	14.4	10.8	1.0	0.0	16.0	0.432203389831	2.0	2	3.0	9.0	7.0	1.0	6.0	1.17
3434	360	m	18	3434-360	14.4	10.8	1.0	0.0	18.0	0.126984126984	3.0	2	4.0	10.0	2.0	1.65	6.0	0.55
3439	310	app	6	3439-310	14.4	10.8	1.0	0.0	6.0	0.727272727273	1.0	0	2.0	7.0	4.0	1.0	5.0	0.8
3470	234	app	160	3470-234	49.44	37.08	1.0	2.0	160.0	0.383111111111	2.0	1	3.0	8.0	2.0	1.07333333333	5.0	0.43
3470	234	m	47	3470-234	49.44	37.08	0.83	1.0	39.01	0.429429429429	2.0	1	3.0	8.0	1.0		5.0	
3470	234	pc	18	3470-234	49.44	37.08	0.24	0.0	4.32	0.330769230769	2.0	1	3.0	8.0	1.0	1.0	5.0	0.2
362	14326	m	166	362-14326	36.0	27.0	1.0	0.0	166.0	0.430042918455	1.0	3	2.0	9.0	71.0	1.68666666667	7.0	17.11
362	14326	pc	92	362-14326	36.0	27.0	1.0	0.0	92.0	0.631172839506	1.0	3	2.0	9.0	58.0	3.16	7.0	26.18
362	14326	app	199	362-14326	36.0	27.0	1.0	0.0	199.0	0.429899856938	1.0	3	2.0	9.0	86.0	1.0	7.0	12.29
375	95	pc	72	375-95	51.36	38.52	0.72	20.0	51.84	0.295275590551	5.0	6	6.0	21.0	15.0	2.04666666667	15.0	2.05
375	95	app	845	375-95	51.36	38.52	1.0	84.0	845.0	0.58712185229	5.0	6	6.0	21.0	84.0	2.50261029412	15.0	14.01
375	95	m	827	375-95	51.36	38.52	0.56	32.0	463.12	0.400552486188	5.0	6	6.0	21.0	32.0	1.68166666667	15.0	3.59
385	14455	app	233	385-14455	42.24	31.68	1.0	10.0	233.0	0.292533659731	4.0	1	5.0	10.0	10.0	1.13	5.0	2.26
385	14455	m	100	385-14455	42.24	31.68	0.86	9.0	86.0	0.194050991501	6.0	1	7.0	12.0	9.0	1.02125	5.0	1.84
385	14455	pc	101	385-14455	42.24	31.68	0.58	3.0	58.58	0.127988748242	5.0	1	6.0	11.0	3.0	1.3225	5.0	0.79
